,id,location,lat,lon
88,8365,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515
89,8472,"Bawana, Delhi - DPCC",28.7762,77.051074
90,8475,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485
91,8915,"Wazirpur, Delhi - DPCC",28.699793,77.165453
92,8917,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665
93,10484,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156
94,10485,"Narela, Delhi - DPCC",28.822836,77.101981
95,10486,"Mundka, Delhi - DPCC",28.684678,77.076574
96,10487,"Anand Vihar, Delhi - DPCC",28.646835,77.316032
97,10488,"Najafgarh, Delhi - DPCC",28.570173,76.933762
98,10489,"ITO, Delhi - CPCB",28.628624,77.24106
99,10820,"Sector 30, Faridabad - HSPCB",28.4417,77.3217
100,10825,"Sector-51, Gurugram - HSPCB",28.4227,77.0667
101,10831,"Rohini, Delhi - DPCC",28.732528,77.11992
102,10900,"Teri Gram, Gurugram - HSPCB",28.4275,77.1465
103,10906,"Murthal, Sonipat - HSPCB",29.027199999999997,77.0621
104,10908,"Sector 11, Faridabad - HSPCB",28.376058,77.315741
105,10919,"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839
106,10920,"New Industrial Town, Faridabad - HSPCB",28.39072,77.30059
107,10921,"NISE Gwal Pahari, Gurugram - IMD",28.422681,77.148944
108,11603,"Chandni Chowk, Delhi - IITM",28.656756,77.227234
109,11607,"Lodhi Road, Delhi - IITM",28.588333,77.221667
110,301388,"Sardar Patel Inter College, Baghpat - UPPCB",28.964949,77.278761
111,346439,"Kalindi Kunj, Khurja - UPPCB",28.234892699999996,77.8683002
112,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058
113,3024966,NASA GSFC Rutgers Calib. N8,28.31733,76.91603
114,3409496,"New Moti Bagh, Delhi - MHUA",28.57834,77.184
115,3409519,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",28.207266,76.829265
116,3410004,"Amity University, Panchgaon - IITM",28.3153,76.9143
117,4663956,"Santushti Apartments, Vasant Kunj",28.5266,77.1493
118,4712609,Air Check,28.623056,77.234167
119,6105800,"Sector 1, Noida extension",28.583491,77.431714
120,6119272,"Sector - 5, Vasundhara, Ghaziabad, Uttar Pradesh ",28.658398,77.3780531
121,6125489,Uptitude Cloud Pvt Ltd,28.40240847053802,77.08477464826682
122,6145551,Anand Lok,28.5587,77.21886
123,6148686,"IIT Delhi, Delhi - IITM",28.54246,77.191651
124,6254594,"Talkatora Garden, Delhi - DPCC",28.62181,77.1944633
125,6254663,"JNU, Delhi - DPCC",28.540721,77.168544
126,6254664,"NSUT Jaffarpur, Delhi - DPCC",28.594004,76.909423
127,6254665,"Commonwealth Sports Complex, Delhi - DPCC",28.615828,77.271992
128,6254666,"IGNOU_Maidan Garhi, Delhi - DPCC",28.493624,77.201159
129,6257818,"Cantonment Area, Delhi - DPCC",28.594169,77.1251
