,id,location,lat,lon
91,5613,"ITO, New Delhi - CPCB",28.628624,77.24106
92,5614,"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276
93,5615,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225
94,5616,"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104
95,5617,"Sector- 16A, Faridabad - HSPCB",28.4088421,77.3099081
96,5619,"Vindhyachal STPS, Singrauli - MPPCB",24.10897,82.64558
97,5621,"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531
98,5622,"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413
99,5623,"Central University, Hyderabad - TSPCB",17.460103,78.334361
100,5624,"IDA Pashamylaram, Hyderabad - TSPCB",17.5316895,78.218939
101,5625,"RIMT University, Mandi Gobindgarh - PPCB",30.649961,76.331442
102,5626,"DTU, New Delhi - CPCB",28.7500499,77.1112615
103,5627,"CRRI Mathura Road, New Delhi - IMD",28.5512005,77.2735737
104,5628,"GVM Corporation, Visakhapatnam - APPCB",17.722682,83.308197
105,5630,"Shadipur, Delhi - CPCB",28.6514781,77.1473105
106,5631,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912
107,5632,"Sector-D Industrial Area, Mandideep - MPPCB",23.10844,77.511428
108,5633,"Police Commissionerate, Jaipur - RSPCB",26.9164092,75.7994901
109,5634,"Lodhi Road, New Delhi - IMD",28.5918245,77.2273074
110,5635,"Adarsh Nagar, Jaipur - RSPCB",26.902909,75.836858
111,5636,"Shrinath Puram, Kota - RSPCB",25.14389,75.821256
112,5638,"Indira Colony Vistar, Pali - RSPCB",25.771061,73.340227
113,5639,"R K Puram, New Delhi - DPCC",28.5646102,77.1670103
114,5641,"Mandir Marg, New Delhi - DPCC",28.6372688,77.2005604
115,5642,"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448
116,5644,"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385
117,5645,"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777
118,5646,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879
119,5647,"Sanathnagar, Hyderabad - TSPCB",17.4559458,78.4332152
120,5648,"Ward-32 Bapupara, Siliguri - WBPCB",26.6883049,88.412668
121,5649,"Tirumala, Tirupati - APPCB",13.67,79.35
122,5650,"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053
123,5652,"IGSC Planetarium Complex, Patna - BSPCB",25.5941,85.1376
124,5655,"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125
125,5657,"Central School, Lucknow - CPCB",26.8821003,80.9302753
