Station Name,City,State,AQI,Latitude,Longitude
"H.B. Colony, Bhiwani, India",H.B. Colony,Other/India,144,28.806223,76.141105
"HIMUDA Complex Phase-1, Baddi, India",HIMUDA Complex Phase-1,Other/India,155,30.943887,76.801991
"Haji Colony, Raichur, India",Haji Colony,Other/India,-,16.208139,77.348417
"Hardev Nagar, Bathinda, India",Hardev Nagar,Other/India,75,30.233011,74.907758
"Huda Sector, Fatehabad, India",Huda Sector,Other/India,55,29.503664,75.467934
"Ibrahimpur, Vijayapura, India",Ibrahimpur,Other/India,63,16.802639,75.722694
"Indira Colony Vistar, Pali, India",Indira Colony Vistar,Other/India,152,25.771061,73.340227
"Industrial Area, Hajipur, India",Industrial Area,Other/India,150,25.697189,85.2459
"Jawahar Nagar, Puducherry, India",Jawahar Nagar,Other/India,21,11.9309,79.8027
"Jhunsi, Prayagraj, India",Jhunsi,Other/India,60,25.425602,81.917152
"Jigar Colony, Moradabad, India",Jigar Colony,Other/India,71,28.856664,78.772638
"Kadri, Mangalore, India",Kadri,Other/India,76,12.88925,74.853
"Kalindi Kunj, Khurja, India",Kalindi Kunj,Other/India,13,28.2348927,77.8683002
"Kalyana Nagara, Chikkamagaluru, India",Kalyana Nagara,Other/India,-,13.328028,75.797056
"Kamalnath Nagar, Bettiah, India",Kamalnath Nagar,Other/India,9,26.80365,84.51954
"Kariavattom, Thiruvananthapuram, India",Kariavattom,Other/India,99,8.5637,76.8865
"Kharahiya Basti, Araria, India",Kharahiya Basti,Other/India,158,26.146529,87.454184
"Knowledge Park - V, Greater Noida, India",Knowledge Park - V,Other/India,155,28.557054,77.453663
"Lhasa Railway Station, Lhasa (拉萨拉萨火车站)",Lhasa Railway Station,Other/India,82,29.6292,91.0834
"MIDC Khutala, Chandrapur, India",MIDC Khutala,Other/India,134,19.9775302,79.2337086
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",Madan Mohan Malaviya University of Technology,Other/India,88,26.730136,83.433859
"Mangala, Bilaspur, India",Mangala,Other/India,66,22.08815,82.13737
"Marhatal, Jabalpur, India",Marhatal,Other/India,82,23.168606,79.932247
"Mariam Nagar, Purnia, India",Mariam Nagar,Other/India,114,25.366336,87.117468
"Meelavittan, Thoothukudi, India",Meelavittan,Other/India,50,8.816428,78.099039
"Mendonsa Colony, Dindigul, India",Mendonsa Colony,Other/India,17,10.358535,77.984321
"Mini Secretariat, Charkhi Dadri, India",Mini Secretariat,Other/India,96,28.593883,76.270653
"Mirchaibari, Katihar, India",Mirchaibari,Other/India,66,25.560083,87.553265
"Model Town, Patiala, India",Model Town,Other/India,59,30.349388,76.366642
"Moti Doongri, Alwar, India",Moti Doongri,Other/India,121,27.554793,76.611536
"Municipal Corporation Office, Dharuhera, India",Municipal Corporation Office,Other/India,85,28.2068,76.7997
"Murthal, Sonipat, India",Murthal,Other/India,110,29.0272,77.0621
"Nagar Nigam, Prayagraj, India",Nagar Nigam,Other/India,53,25.44919916,81.82735986
"Nagqu Stations, Nagqu (那曲地区那曲监测站)",Nagqu Stations,Other/India,57,31.4846,92.0657
