Station Name,City,State,AQI,Latitude,Longitude
"Anthoni Pillai Nagar, Gummidipoondi, India",Anthoni Pillai Nagar,Gummidipoondi,67,13.4127,80.1081
"Vikas Sadan Gurgaon, Gurgaon, India",Vikas Sadan Gurgaon,Gurgaon,162,28.4501238,77.0263051
"Railway Colony, Guwahati, India",Railway Colony,Guwahati,152,26.181742,91.78063
"City Center, Gwalior, India",City Center,Gwalior,53,26.203442,78.193251
"Industrial Area, Hajipur, India",Industrial Area,Hajipur,151,25.697189,85.2459
"Haldia, Haldia, India",Haldia,Haldia,128,22.06047,88.109737
"Anand Vihar, Hapur, India",Anand Vihar,Hapur,78,28.725645,77.749675
"B.Katihalli, Hassan, India",B.Katihalli,Hassan,-,13.008556,76.125258
"Urban Estate-II, Hisar, India",Urban Estate-II,Hisar,131,29.14056,75.744941
"Belur Math, Howrah, India",Belur Math,Howrah,136,22.629801,88.352017
"Ghusuri, Howrah, India",Ghusuri,Howrah,161,22.611968,88.347422
"IITH Kandi, Hyderabad, India",IITH Kandi,Hyderabad,153,17.585705,78.126199
"New Malakpet, Hyderabad, India",New Malakpet,Hyderabad,155,17.37206,78.50864
"Somajiguda, Hyderabad, India",Somajiguda,Hyderabad,125,17.417094,78.457437
"Chhoti Gwaltoli, Indore, India",Chhoti Gwaltoli,Indore,88,22.431,75.5213
"Marhatal, Jabalpur, India",Marhatal,Jabalpur,81,23.168606,79.932247
"Police Commissionerate, Jaipur, India",Police Commissionerate,Jaipur,151,26.9164092,75.7994901
"Civil Line, Jalandhar, India",Civil Line,Jalandhar,98,31.321907,75.578914
"Shivaji Nagar, Jhansi, India",Shivaji Nagar,Jhansi,51,25.4547,78.6039
"Police Lines, Jind, India",Police Lines,Jind,70,29.307814,76.337619
"Collectorate, Jodhpur, India",Collectorate,Jodhpur,80,26.268249,73.0193853
"Tata Stadium, Jorapokhar, India",Tata Stadium,Jorapokhar,87,23.707909,86.41467
"Bhaisipati, KTM, Nepal",Bhaisipati,KTM,107,27.65311,85.302252
"Rishi Nagar, Kaithal, India",Rishi Nagar,Kaithal,84,29.8006,76.4155
"Khadakpada, Kalyan, India",Khadakpada,Kalyan,53,19.25292,73.142019
"Thavakkara, Kannur, India",Thavakkara,Kannur,156,11.875,75.3732
"NSI Kalyanpur, Kanpur, India",NSI Kalyanpur,Kanpur,65,26.509954,80.249612
"Sector-12, Karnal, India",Sector-12,Karnal,69,29.6953,77.0027
"Mirchaibari, Katihar, India",Mirchaibari,Katihar,63,25.560083,87.553265
"Gole Bazar, Katni, India",Gole Bazar,Katni,77,23.50016,80.23284
"Dhulikhel, Kavre, Nepal",Dhulikhel,Kavre,50,27.608483,85.547803
"Kalindi Kunj, Khurja, India",Kalindi Kunj,Khurja,24,28.2348927,77.8683002
"SDM Office_Khagra, Kishanganj, India",SDM Office_Khagra,Kishanganj,92,26.0881305,87.93840336
"PWD Juction, Kohima, India",PWD Juction,Kohima,-,25.6635413,94.0989878
"Bidhannagar, Kolkata, India",Bidhannagar,Kolkata,103,22.58157048,88.41002457
"Rabindra Bharati University, Kolkata, India",Rabindra Bharati University,Kolkata,143,22.627847,88.380669
"Polayathode, Kollam, India",Polayathode,Kollam,84,8.8787,76.6073
"Diwator Nagar, Koppal, India",Diwator Nagar,Koppal,661,15.34763,76.181767
"Shrinath Puram, Kota, India",Shrinath Puram,Kota,117,25.14389,75.821256
"Sector-7, Kurukshetra, India",Sector-7,Kurukshetra,103,29.966942,76.875879
"Lhasa Railway Station, Lhasa (拉萨拉萨火车站)",Lhasa Railway Station,Lhasa Railway Station,82,29.6292,91.0834
"Central School, Lucknow, India",Central School,Lucknow,162,26.8821003,80.9302753
"Talkatora, Lucknow, India",Talkatora,Lucknow,91,26.83399722,80.8917361
"Punjab Agricultural University, Ludhiana, India",Punjab Agricultural University,Ludhiana,101,30.9028,75.8086
"Lumbini, Nepal",Lumbini,Lumbini,35,27.489522,83.279089
"Stuart Hill, Madikeri, India",Stuart Hill,Madikeri,53,12.415911,75.73505
"Sahilara, Maihar, India",Sahilara,Maihar,82,24.2613009,80.7231783
"RIMT University, Mandi Gobindgarh, India",RIMT University,Mandi Gobindgarh,142,30.649961,76.331442
"Sector-D Industrial Area, Mandideep, India",Sector-D Industrial Area,Mandideep,151,23.10844,77.511428
"General Hospital, Mandikhera, India",General Hospital,Mandikhera,82,27.9002,76.9938
"Sector-2 IMT, Manesar, India",Sector-2 IMT,Manesar,63,28.360699,76.93609
"Kadri, Mangalore, India",Kadri,Mangalore,76,12.88925,74.853
"Forest Rest House, Manguraha, India",Forest Rest House,Manguraha,123,25.357288,84.107844
"Pallavpuram Phase 2, Meerut, India",Pallavpuram Phase 2,Meerut,147,29.06351,77.709723
"Employment Office, Moradabad, India",Employment Office,Moradabad,92,28.88528,78.7388
"Jigar Colony, Moradabad, India",Jigar Colony,Moradabad,71,28.856664,78.772638
"Gandak Colony, Motihari, India",Gandak Colony,Motihari,53,26.63086,84.90051
"Borivali East, Mumbai, India",Borivali East,Mumbai,99,19.23241,72.86895
"Deonar, Mumbai, India",Deonar,Mumbai,124,19.04946,72.923
"Navy Nagar-Colaba, Mumbai, India",Navy Nagar-Colaba,Mumbai,119,18.897756,72.81332
"Powai, Mumbai, India",Powai,Mumbai,66,19.1375,72.915056
"Town Hall, Munger, India",Town Hall,Munger,76,25.376776,86.471523
"New Mandi, Muzaffarnagar, India",New Mandi,Muzaffarnagar,95,29.4723508,77.7194031
"Buddha Colony, Muzaffarpur, India",Buddha Colony,Muzaffarpur,156,26.11442,85.39813
"MIT-Daudpur Kothi, Muzaffarpur, India",MIT-Daudpur Kothi,Muzaffarpur,128,26.1403345,85.3650192
"Muzaffarpur Collectorate, Muzaffarpur, India",Muzaffarpur Collectorate,Muzaffarpur,151,26.1209,85.3647
"Hebbal 1st Stage, Mysuru, India",Hebbal 1st Stage,Mysuru,52,12.21041,76.37376
"Opp GPO Civil Lines, Nagpur, India",Opp GPO Civil Lines,Nagpur,96,21.152875,79.0517531
"Nagqu Stations, Nagqu (那曲地区那曲监测站)",Nagqu Stations,Nagqu Stations,57,31.4846,92.0657
