hour,pm25,pm10,o3
0,236.3037037037037,207.27,4.6136
1,230.04642857142858,199.87,7.312592592592592
2,235.55555555555554,215.0142857142857,5.904555555555556
3,251.54642857142858,229.1703703703704,11.82423076923077
4,242.6206896551724,247.3793103448276,11.265217391304349
5,239.09310344827585,258.55555555555554,20.39625
6,236.36333333333332,251.1425,33.32533333333333
7,243.91666666666666,249.87272727272727,29.14513513513513
8,227.14827586206897,233.25,32.588545454545454
9,186.17482758620687,195.10833333333332,33.385
10,172.84,180.85277777777776,35.236666666666665
11,169.16428571428574,151.26969696969695,36.2590625
12,160.94482758620688,177.98055555555555,32.208064516129035
13,157.29666666666665,201.4108108108108,30.181212121212123
14,160.94838709677418,197.49375,15.91509375
15,190.515625,225.64473684210526,5.969941176470589
16,204.15806451612903,241.85,15.728321428571428
17,206.28181818181818,242.29,11.858037037037038
18,225.35,250.28965517241377,12.785714285714286
19,247.78333333333333,232.25,9.686896551724136
20,275.472,223.78787878787878,9.957083333333333
21,244.0,218.0625,8.79857142857143
22,259.9769230769231,206.90322580645162,9.9612
23,241.0413793103448,211.65454545454546,-6.736551724137931
